hometeam,awayteam,homegoals,awaygoals,year,round,leg1,leg2,highseedgoals,lowseedgoals,seriesid
NewYorkRedBulls,DCUnited,2,0,2014,Quarter,True,False,0,2,2014q4
RealSaltLake,LosAngelesGalaxy,0,0,2014,Quarter,True,False,0,0,2014q2
ColumbusCrew,NewEnglandRevolution,2,4,2014,Quarter,True,False,4,2,2014q3
NewYorkRedBulls,ColumbusCrew,1,0,2015,Semi,False,True,1,0,2015s1
FCDallas,PortlandTimbers,2,2,2015,Semi,False,True,2,2,2015s2
PortlandTimbers,FCDallas,3,1,2015,Semi,True,False,1,3,2015s2
ColumbusCrew,NewYorkRedBulls,2,0,2015,Semi,True,False,0,2,2015s1
VancouverWhitecaps,PortlandTimbers,0,2,2015,Quarter,False,True,0,2,2015q1
FCDallas,SeattleSounders,3,1,2015,Quarter,False,True,3,1,2015q2
ColumbusCrew,MontrealImpact,3,1,2015,Quarter,False,True,3,1,2015q3
NewYorkRedBulls,DCUnited,1,0,2015,Quarter,False,True,1,0,2015q4
SeattleSounders,FCDallas,2,1,2015,Quarter,True,False,1,2,2015q2
MontrealImpact,ColumbusCrew,2,1,2015,Quarter,True,False,1,2,2015q3
PortlandTimbers,VancouverWhitecaps,0,0,2015,Quarter,True,False,0,0,2015q1
DCUnited,NewYorkRedBulls,0,1,2015,Quarter,True,False,1,0,2015q4
TorontoFC,MontrealImpact,5,2,2016,Semi,False,True,5,2,2016s1
ColoradoRapids,SeattleSounders,0,1,2016,Semi,False,True,0,1,2016s2
SeattleSounders,ColoradoRapids,2,1,2016,Semi,True,False,1,2,2016s2
MontrealImpact,TorontoFC,3,2,2016,Semi,True,False,2,3,2016s1
FCDallas,SeattleSounders,2,1,2016,Quarter,False,True,2,1,2016q1
NewYorkCity,TorontoFC,0,5,2016,Quarter,False,True,0,5,2016q2
NewYorkRedBulls,MontrealImpact,1,2,2016,Quarter,False,True,1,2,2016q3
ColoradoRapids,LosAngelesGalaxy,2,0,2016,Quarter,False,True,2,0,2016q4
SeattleSounders,FCDallas,3,0,2016,Quarter,True,False,0,3,2016q1
TorontoFC,NewYorkCity,2,0,2016,Quarter,True,False,0,2,2016q2
LosAngelesGalaxy,ColoradoRapids,1,0,2016,Quarter,True,False,0,1,2016q4
MontrealImpact,NewYorkRedBulls,1,0,2016,Quarter,True,False,0,1,2016q3
SeattleSounders,HoustonDynamo,3,0,2017,Semi,False,True,3,0,2017s1
TorontoFC,ColumbusCrew,1,0,2017,Semi,False,True,1,0,2017s2
HoustonDynamo,SeattleSounders,0,2,2017,Semi,True,False,2,0,2017s1
ColumbusCrew,TorontoFC,0,0,2017,Semi,True,False,0,0,2017s2
PortlandTimbers,HoustonDynamo,1,2,2017,Quarter,False,True,1,2,2017q1
NewYorkCity,ColumbusCrew,2,0,2017,Quarter,False,True,2,0,2017q2
TorontoFC,NewYorkRedBulls,0,1,2017,Quarter,False,True,0,1,2017q3
SeattleSounders,VancouverWhitecaps,2,0,2017,Quarter,False,True,2,0,2017q4
ColumbusCrew,NewYorkCity,4,1,2017,Quarter,True,False,1,4,2017q2
HoustonDynamo,PortlandTimbers,0,0,2017,Quarter,True,False,0,0,2017q1
NewYorkRedBulls,TorontoFC,1,2,2017,Quarter,True,False,2,1,2017q3
VancouverWhitecaps,SeattleSounders,0,0,2017,Quarter,True,False,0,0,2017q4
